name	F type	FIA type	FIB type	IncF RST
AP009488	F-	A-	B-	F-:A-:B-
AP009489	F-	A-	B-	F-:A-:B-
AP009490	F-	A-	B-	F-:A-:B-
AP009491	F-	A-	B-	F-:A-:B-
AP009492	F-	A-	B-	F-:A-:B-
AP009511	F-	A-	B-	F-:A-:B-
AP009512	F-	A-	B-	F-:A-:B-
AP009513	F-	A-	B-	F-:A-:B-
AP010657	F-	A-	B-	F-:A-:B-
AP010658	F-	A-	B-	F-:A-:B-
AP010659	F-	A-	B-	F-:A-:B-
AP010660	F-	A-	B-	F-:A-:B-
AP010805	F-	A-	B-	F-:A-:B-
AP010806	F-	A-	B-	F-:A-:B-
AP010807	F-	A-	B-	F-:A-:B-
AP010873	F-	A-	B-	F-:A-:B-
AP010891	F-	A-	B-	F-:A-:B-
AP010892	F-	A-	B-	F-:A-:B-
AP010905	F-	A-	B-	F-:A-:B-
AP010906	F-	A-	B-	F-:A-:B-
AP010934	F-	A-	B-	F-:A-:B-
AP010952	F-	A-	B-	F-:A-:B-
AP010954	F-	A-	B11	F-:A-:B11
AP010956	F-	A-	B-	F-:A-:B-
AP010957	F-	A-	B-	F-:A-:B-
AP010959	F-	A-	B13	F-:A-:B13
AP010961	F-	A8	B-	F-:A8:B-
AP010962	F-	A-	B-	F-:A-:B-
AP010964	F-	A-	B-	F-:A-:B-
AP010965	F-	A-	B-	F-:A-:B-
AP011117	F-	A-	B-	F-:A-:B-
AP011118	F-	A-	B-	F-:A-:B-
AP011119	F-	A-	B-	F-:A-:B-
AP011120	F-	A-	B-	F-:A-:B-
AP011122	F-	A-	B-	F-:A-:B-
AP011123	F-	A-	B-	F-:A-:B-
AP011124	F-	A-	B-	F-:A-:B-
AP011125	F-	A-	B-	F-:A-:B-
AP011126	F-	A-	B-	F-:A-:B-
AP011127	F-	A-	B-	F-:A-:B-
AP011129	F-	A-	B-	F-:A-:B-
AP011130	F-	A-	B-	F-:A-:B-
AP011131	F-	A-	B-	F-:A-:B-
AP011132	F-	A-	B-	F-:A-:B-
AP011133	F-	A-	B-	F-:A-:B-
AP011134	F-	A-	B-	F-:A-:B-
AP011136	F-	A-	B-	F-:A-:B-
AP011137	F-	A-	B-	F-:A-:B-
AP011138	F-	A-	B-	F-:A-:B-
AP011139	F-	A-	B-	F-:A-:B-
AP011140	F-	A-	B-	F-:A-:B-
AP011141	F-	A-	B-	F-:A-:B-
AP011143	F-	A-	B-	F-:A-:B-
AP011144	F-	A-	B-	F-:A-:B-
AP011145	F-	A-	B-	F-:A-:B-
AP011146	F-	A-	B-	F-:A-:B-
AP011147	F-	A-	B-	F-:A-:B-
AP011148	F-	A-	B-	F-:A-:B-
AP011150	F-	A-	B-	F-:A-:B-
AP011151	F-	A-	B-	F-:A-:B-
AP011152	F-	A-	B-	F-:A-:B-
AP011153	F-	A-	B-	F-:A-:B-
AP011154	F-	A-	B-	F-:A-:B-
AP011155	F-	A-	B-	F-:A-:B-
AP011157	F-	A-	B-	F-:A-:B-
AP011158	F-	A-	B-	F-:A-:B-
AP011159	F-	A-	B-	F-:A-:B-
AP011160	F-	A-	B-	F-:A-:B-
AP011161	F-	A-	B-	F-:A-:B-
AP011162	F-	A-	B-	F-:A-:B-
AP011164	F-	A-	B-	F-:A-:B-
AP011165	F-	A-	B-	F-:A-:B-
AP011166	F-	A-	B-	F-:A-:B-
AP011167	F-	A-	B-	F-:A-:B-
AP011168	F-	A-	B-	F-:A-:B-
AP011169	F-	A-	B-	F-:A-:B-
AP011171	F-	A-	B-	F-:A-:B-
AP011172	F-	A-	B-	F-:A-:B-
AP011173	F-	A-	B-	F-:A-:B-
AP011174	F-	A-	B-	F-:A-:B-
AP011175	F-	A-	B-	F-:A-:B-
AP011176	F-	A-	B-	F-:A-:B-
AP011530	F-	A-	B-	F-:A-:B-
AP011542	F-	A-	B-	F-:A-:B-
AP011942	F-	A-	B-	F-:A-:B-
AP011944	F-	A-	B-	F-:A-:B-
AP011954	F-	A-	B-	F-:A-:B-
AP011959	F-	A-	B-	F-:A-:B-
AP012033	F-	A-	B-	F-:A-:B-
AP012036	F-	A-	B-	F-:A-:B-
AP012037	F-	A-	B-	F-:A-:B-
AP012038	F-	A-	B-	F-:A-:B-
AP012039	F-	A-	B-	F-:A-:B-
AP012040	F-	A-	B-	F-:A-:B-
AP012041	F-	A-	B-	F-:A-:B-
AP012042	F-	A-	B-	F-:A-:B-
AP012043	F-	A-	B-	F-:A-:B-
AP012045	F-	A-	B-	F-:A-:B-
AP012049	F-	A-	B-	F-:A-:B-
AP012055	F-	A-	B-	F-:A-:B-
AP012158	F-	A-	B-	F-:A-:B-
AP012160	F-	A-	B-	F-:A-:B-
AP012161	F-	A-	B-	F-:A-:B-
AP012162	F-	A-	B-	F-:A-:B-
AP012163	F-	A-	B-	F-:A-:B-
AP012164	F-	A-	B-	F-:A-:B-
AP012165	F-	A-	B-	F-:A-:B-
AP012166	F-	A-	B-	F-:A-:B-
AP012168	F-	A-	B-	F-:A-:B-
AP012169	F-	A-	B-	F-:A-:B-
AP012170	F-	A-	B-	F-:A-:B-
AP012171	F-	A-	B-	F-:A-:B-
AP012172	F-	A-	B-	F-:A-:B-
AP012173	F-	A-	B-	F-:A-:B-
AP012174	F-	A-	B-	F-:A-:B-
AP012175	F-	A-	B-	F-:A-:B-
AP012176	F-	A-	B-	F-:A-:B-
AP012201	F-	A-	B-	F-:A-:B-
AP012208	F-	A-	B-	F-:A-:B-
AP012223	F-	A-	B-	F-:A-:B-
AP012274	F-	A-	B-	F-:A-:B-
AP012275	F-	A-	B-	F-:A-:B-
AP012283	F-	A-	B-	F-:A-:B-
AP012293	F-	A-	B-	F-:A-:B-
AP012294	F-	A-	B-	F-:A-:B-
AP012295	F-	A-	B-	F-:A-:B-
AP012296	F-	A-	B-	F-:A-:B-
AP012297	F-	A-	B-	F-:A-:B-
AP012298	F-	A-	B-	F-:A-:B-
AP012299	F-	A-	B-	F-:A-:B-
AP012300	F-	A-	B-	F-:A-:B-
AP012301	F-	A-	B-	F-:A-:B-
AP012339	F-	A-	B-	F-:A-:B-
AP012343	F-	A-	B-	F-:A-:B-
AP012345	F-	A-	B-	F-:A-:B-
AP012467	F-	A-	B-	F-:A-:B-
AP012542	F-	A-	B-	F-:A-:B-
AP012543	F-	A-	B-	F-:A-:B-
AP012545	F-	A-	B-	F-:A-:B-
AP012550	F-	A-	B-	F-:A-:B-
AP012552	F-	A-	B-	F-:A-:B-
AP012553	F-	A-	B-	F-:A-:B-
AP012556	F-	A-	B-	F-:A-:B-
AP012602	F-	A-	B-	F-:A-:B-
AP013033	F-	A-	B-	F-:A-:B-
AP013034	F-	A-	B-	F-:A-:B-
AP013037	F-	A-	B-	F-:A-:B-
AP013038	F-	A-	B-	F-:A-:B-
AP013039	F-	A-	B-	F-:A-:B-
AP013040	F-	A-	B-	F-:A-:B-
AP013041	F-	A-	B-	F-:A-:B-
AP013062	F-	A-	B-	F-:A-:B-
AP013064	F-	A-	B-	F-:A-:B-
AP013065	F-	A-	B-	F-:A-:B-
AP013067	F-	A-	B-	F-:A-:B-
AP013069	F-	A-	B-	F-:A-:B-
AP014570	F-	A-	B-	F-:A-:B-
AP014581	F-	A-	B-	F-:A-:B-
AP014611	F-	A-	B-	F-:A-:B-
AP014639	F-	A-	B-	F-:A-:B-
AP014641	F-	A-	B-	F-:A-:B-
AP014643	F-	A-	B-	F-:A-:B-
AP014645	F-	A-	B-	F-:A-:B-
AP014650	F-	A-	B-	F-:A-:B-
AP014659	F-	A-	B-	F-:A-:B-
AP014681	F-	A-	B-	F-:A-:B-
AP014682	F-	A-	B-	F-:A-:B-
AP014686	F-	A-	B-	F-:A-:B-
AP014687	F-	A-	B-	F-:A-:B-
AP014688	F-	A-	B-	F-:A-:B-
AP014707	F-	A-	B-	F-:A-:B-
AP014708	F-	A-	B-	F-:A-:B-
AP014709	F-	A-	B-	F-:A-:B-
AP014713	F-	A-	B-	F-:A-:B-
AP014720	F-	A-	B-	F-:A-:B-
AP014721	F-	A-	B-	F-:A-:B-
AP014801	F-	A-	B-	F-:A-:B-
AP014802	F-	A-	B-	F-:A-:B-
AP014803	F-	A-	B-	F-:A-:B-
AP014805	F-	A-	B-	F-:A-:B-
AP014807	F-	A-	B-	F-:A-:B-
AP014810	F-	A-	B-	F-:A-:B-
AP014811	F-	A-	B-	F-:A-:B-
AP014812	F-	A-	B-	F-:A-:B-
AP014813	F-	A-	B-	F-:A-:B-
AP014814	F-	A-	B-	F-:A-:B-
AP014816	F-	A-	B-	F-:A-:B-
AP014817	F-	A-	B-	F-:A-:B-
AP014818	F-	A-	B-	F-:A-:B-
AP014819	F-	A-	B-	F-:A-:B-
AP014820	F-	A-	B-	F-:A-:B-
AP014822	F-	A-	B-	F-:A-:B-
AP014823	F-	A-	B-	F-:A-:B-
AP014824	F-	A-	B-	F-:A-:B-
AP014825	F-	A-	B-	F-:A-:B-
AP014826	F-	A-	B-	F-:A-:B-
AP014827	F-	A-	B-	F-:A-:B-
AP014828	F-	A-	B-	F-:A-:B-
AP014829	F-	A-	B-	F-:A-:B-
AP014830	F-	A-	B-	F-:A-:B-
AP014831	F-	A-	B-	F-:A-:B-
AP014832	F-	A-	B-	F-:A-:B-
AP014834	F-	A-	B-	F-:A-:B-
AP014835	F-	A-	B-	F-:A-:B-
AP014837	F-	A-	B-	F-:A-:B-
AP014859	F-	A-	B-	F-:A-:B-
AP014860	F-	A-	B-	F-:A-:B-
AP014861	F-	A-	B-	F-:A-:B-
AP014863	F-	A-	B-	F-:A-:B-
AP014866	F-	A-	B-	F-:A-:B-
AP014867	F-	A-	B-	F-:A-:B-
AP014868	F-	A-	B-	F-:A-:B-
AP014869	F-	A-	B-	F-:A-:B-
AP014870	F-	A-	B-	F-:A-:B-
AP014871	F-	A-	B-	F-:A-:B-
AP014872	F-	A-	B-	F-:A-:B-
AP014882	F-	A-	B-	F-:A-:B-
AP014883	F-	A-	B-	F-:A-:B-
AP014884	F-	A-	B-	F-:A-:B-
AP014885	F-	A-	B-	F-:A-:B-
AP014922	F-	A-	B-	F-:A-:B-
AP014939	F-	A-	B-	F-:A-:B-
AP014943	F-	A-	B-	F-:A-:B-
AP014952	F-	A-	B-	F-:A-:B-
AP014953	F-	A-	B-	F-:A-:B-
AP014954	F-	A-	B-	F-:A-:B-
AP014955	F-	A-	B-	F-:A-:B-
AP015013	F-	A-	B-	F-:A-:B-
AP015031	F-	A-	B-	F-:A-:B-
AP015032	F-	A-	B-	F-:A-:B-
AP015033	F-	A-	B-	F-:A-:B-
AP017297	F-	A-	B-	F-:A-:B-
AP017298	F-	A-	B-	F-:A-:B-
AP017306	F-	A-	B-	F-:A-:B-
AP017307	F-	A-	B-	F-:A-:B-
AP017309	F-	A-	B-	F-:A-:B-
AP017310	F-	A-	B-	F-:A-:B-
AP017311	F-	A-	B-	F-:A-:B-
AP017321	F-	A-	B-	F-:A-:B-
AP017340	F-	A-	B-	F-:A-:B-
AP017342	F-	A-	B-	F-:A-:B-
AP017344	F-	A-	B-	F-:A-:B-
AP017347	F-	A-	B-	F-:A-:B-
AP017353	F-	A-	B-	F-:A-:B-
AP017361	F-	A-	B-	F-:A-:B-
AP017376	F-	A-	B-	F-:A-:B-
AP017379	F-	A-	B-	F-:A-:B-
AP017380	F-	A-	B-	F-:A-:B-
AP017382	F-	A-	B-	F-:A-:B-
AP017383	F-	A-	B-	F-:A-:B-
AP017384	F-	A-	B-	F-:A-:B-
AP017399	F-	A-	B-	F-:A-:B-
AP017460	F-	A-	B-	F-:A-:B-
AP017461	F-	A-	B-	F-:A-:B-
AP017462	F-	A-	B-	F-:A-:B-
AP017561	F-	A-	B-	F-:A-:B-
AP017562	F-	A-	B-	F-:A-:B-
AP017563	F-	A-	B-	F-:A-:B-
AP017564	F-	A-	B-	F-:A-:B-
AP017565	F-	A-	B-	F-:A-:B-
AP017566	F-	A-	B-	F-:A-:B-
AP017567	F-	A-	B-	F-:A-:B-
AP017604	F-	A-	B-	F-:A-:B-
AP017606	F-	A-	B-	F-:A-:B-
AP017607	F-	A-	B-	F-:A-:B-
AP017608	F-	A-	B-	F-:A-:B-
AP017612	F-	A-	B-	F-:A-:B-
AP017613	F-	A-	B-	F-:A-:B-
AP017614	F-	A-	B-	F-:A-:B-
AP017615	F-	A-	B-	F-:A-:B-
AP017616	F-	A-	B-	F-:A-:B-
AP017619	F-	A-	B-	F-:A-:B-
AP017622	F-	A-	B-	F-:A-:B-
AP017625	F-	A-	B-	F-:A-:B-
AP017627	F-	A-	B-	F-:A-:B-
AP017628	F-	A-	B-	F-:A-:B-
AP017631	F-	A-	B-	F-:A-:B-
AP017634	F-	A-	B-	F-:A-:B-
AP017656	F-	A-	B-	F-:A-:B-
AP017657	F-	A-	B-	F-:A-:B-
AP017658	F-	A-	B-	F-:A-:B-
AP017659	F-	A-	B-	F-:A-:B-
AP017660	F-	A-	B-	F-:A-:B-
AP017661	F-	A-	B-	F-:A-:B-
AP017892	F-	A-	B-	F-:A-:B-
AP017893	F-	A-	B-	F-:A-:B-
AP017899	F-	A-	B-	F-:A-:B-
AP017915	F-	A-	B-	F-:A-:B-
AP017916	F-	A-	B-	F-:A-:B-
AP017917	F-	A-	B-	F-:A-:B-
AP017918	F-	A-	B-	F-:A-:B-
AP017919	F-	A-	B-	F-:A-:B-
AP017921	F-	A-	B-	F-:A-:B-
AP017923	F-	A-	B-	F-:A-:B-
AP017930	F-	A-	B-	F-:A-:B-
AP017932	F-	A-	B-	F-:A-:B-
AP017933	F-	A-	B-	F-:A-:B-
AP017934	F-	A-	B-	F-:A-:B-
AP017937	F-	A-	B-	F-:A-:B-
AP017938	F-	A-	B-	F-:A-:B-
AP017939	F-	A-	B-	F-:A-:B-
AP017960	F-	A-	B-	F-:A-:B-
AP017961	F-	A-	B-	F-:A-:B-
AP017962	F-	A-	B-	F-:A-:B-
AP017963	F-	A-	B-	F-:A-:B-
AP017969	F-	A-	B-	F-:A-:B-
AP017970	F-	A-	B-	F-:A-:B-
AP017974	F-	A-	B-	F-:A-:B-
AP017976	F-	A-	B-	F-:A-:B-
AP017978	F-	A-	B-	F-:A-:B-
AP017992	F-	A-	B-	F-:A-:B-
AP017993	F-	A-	B-	F-:A-:B-
AP017994	F-	A-	B-	F-:A-:B-
AP017995	F-	A-	B-	F-:A-:B-
AP018047	F-	A-	B-	F-:A-:B-
AP018048	F-	A-	B-	F-:A-:B-
AP018051	F-	A-	B-	F-:A-:B-
AP018110	F-	A-	B-	F-:A-:B-
AP018137	F-	A25	B49	F-:A25:B49
AP018141	F-	A-	B-	F-:A-:B-
AP018142	F-	A-	B-	F-:A-:B-
AP018143	F-	A-	B-	F-:A-:B-
AP018145	F-	A-	B-	F-:A-:B-
AP018146	F-	A-	B-	F-:A-:B-
AP018163	F-	A-	B-	F-:A-:B-
AP018167	F-	A-	B-	F-:A-:B-
AP018168	F-	A-	B-	F-:A-:B-
AP018169	F-	A-	B-	F-:A-:B-
AP018170	F-	A-	B-	F-:A-:B-
AP018171	F-	A-	B-	F-:A-:B-
AP018173	F-	A-	B-	F-:A-:B-
AP018175	F-	A-	B-	F-:A-:B-
AP018176	F-	A-	B-	F-:A-:B-
AP018177	F-	A-	B-	F-:A-:B-
AP018179	F-	A-	B-	F-:A-:B-
AP018182	F-	A-	B-	F-:A-:B-
AP018183	F-	A-	B-	F-:A-:B-
AP018185	F-	A-	B-	F-:A-:B-
AP018186	F-	A-	B-	F-:A-:B-
AP018187	F-	A-	B-	F-:A-:B-
AP018188	F-	A-	B-	F-:A-:B-
AP018189	F-	A-	B-	F-:A-:B-
AP018190	F-	A-	B-	F-:A-:B-
AP018191	F-	A-	B-	F-:A-:B-
AP018192	F-	A-	B-	F-:A-:B-
AP018193	F-	A-	B-	F-:A-:B-
AP018196	F-	A-	B-	F-:A-:B-
AP018197	F-	A-	B-	F-:A-:B-
AP018198	F-	A-	B-	F-:A-:B-
AP018199	F-	A-	B-	F-:A-:B-
AP018200	F-	A-	B-	F-:A-:B-
AP018201	F-	A-	B-	F-:A-:B-
AP018206	F-	A-	B-	F-:A-:B-
AP018208	F-	A-	B-	F-:A-:B-
AP018209	F-	A-	B-	F-:A-:B-
AP018210	F-	A-	B-	F-:A-:B-
AP018211	F-	A-	B-	F-:A-:B-
AP018212	F-	A-	B-	F-:A-:B-
AP018213	F-	A-	B-	F-:A-:B-
AP018214	F-	A-	B-	F-:A-:B-
AP018215	F-	A-	B-	F-:A-:B-
AP018217	F-	A-	B-	F-:A-:B-
AP018218	F-	A-	B-	F-:A-:B-
AP018219	F-	A-	B-	F-:A-:B-
AP018220	F-	A-	B-	F-:A-:B-
AP018221	F-	A-	B-	F-:A-:B-
AP018224	F-	A-	B-	F-:A-:B-
AP018225	F-	A-	B-	F-:A-:B-
AP018226	F-	A-	B-	F-:A-:B-
AP018228	F-	A-	B-	F-:A-:B-
AP018229	F-	A-	B-	F-:A-:B-
AP018230	F-	A-	B-	F-:A-:B-
AP018231	F-	A-	B-	F-:A-:B-
AP018232	F-	A-	B-	F-:A-:B-
AP018234	F-	A-	B-	F-:A-:B-
AP018235	F-	A-	B-	F-:A-:B-
AP018236	F-	A-	B-	F-:A-:B-
AP018237	F-	A-	B-	F-:A-:B-
AP018238	F-	A-	B-	F-:A-:B-
AP018239	F-	A-	B-	F-:A-:B-
AP018240	F-	A-	B-	F-:A-:B-
AP018241	F-	A-	B-	F-:A-:B-
AP018242	F-	A-	B-	F-:A-:B-
AP018243	F-	A-	B-	F-:A-:B-
AP018244	F-	A-	B-	F-:A-:B-
AP018245	F-	A-	B-	F-:A-:B-
AP018246	F-	A-	B-	F-:A-:B-
AP018247	F-	A-	B-	F-:A-:B-
AP018249	F-	A-	B-	F-:A-:B-
AP018250	F-	A-	B-	F-:A-:B-
AP018251	F-	A-	B-	F-:A-:B-
AP018252	F-	A-	B-	F-:A-:B-
AP018253	F-	A-	B-	F-:A-:B-
AP018256	F-	A-	B-	F-:A-:B-
AP018257	F-	A-	B-	F-:A-:B-
AP018258	F-	A-	B-	F-:A-:B-
AP018259	F-	A-	B-	F-:A-:B-
AP018260	F-	A-	B-	F-:A-:B-
AP018261	F-	A-	B-	F-:A-:B-
AP018262	F-	A-	B-	F-:A-:B-
AP018263	F-	A-	B-	F-:A-:B-
AP018264	F-	A-	B-	F-:A-:B-
AP018265	F-	A-	B-	F-:A-:B-
AP018266	F-	A-	B-	F-:A-:B-
AP018267	F-	A-	B-	F-:A-:B-
AP018270	F-	A-	B-	F-:A-:B-
AP018271	F-	A-	B-	F-:A-:B-
AP018272	F-	A-	B-	F-:A-:B-
AP018275	F-	A-	B-	F-:A-:B-
AP018276	F-	A-	B-	F-:A-:B-
AP018277	F-	A-	B-	F-:A-:B-
AP018278	F-	A-	B-	F-:A-:B-
AP018279	F-	A-	B-	F-:A-:B-
AP018282	F-	A-	B-	F-:A-:B-
AP018283	F-	A-	B-	F-:A-:B-
AP018284	F-	A-	B-	F-:A-:B-
AP018285	F-	A-	B-	F-:A-:B-
AP018286	F-	A-	B-	F-:A-:B-
AP018287	F-	A-	B-	F-:A-:B-
AP018289	F-	A-	B-	F-:A-:B-
AP018291	F-	A-	B-	F-:A-:B-
AP018292	F-	A-	B-	F-:A-:B-
AP018293	F-	A-	B-	F-:A-:B-
AP018294	F-	A-	B-	F-:A-:B-
AP018295	F-	A-	B-	F-:A-:B-
AP018296	F-	A-	B-	F-:A-:B-
AP018297	F-	A-	B-	F-:A-:B-
AP018300	F-	A-	B-	F-:A-:B-
AP018301	F-	A-	B-	F-:A-:B-
AP018302	F-	A-	B-	F-:A-:B-
AP018303	F-	A-	B-	F-:A-:B-
AP018304	F-	A-	B-	F-:A-:B-
AP018305	F-	A-	B-	F-:A-:B-
AP018306	F-	A-	B-	F-:A-:B-
AP018308	F-	A-	B-	F-:A-:B-
AP018309	F-	A-	B-	F-:A-:B-
AP018310	F-	A-	B-	F-:A-:B-
AP018311	F-	A-	B-	F-:A-:B-
AP018312	F-	A-	B-	F-:A-:B-
AP018313	F-	A-	B-	F-:A-:B-
AP018315	F-	A-	B-	F-:A-:B-
AP018320	F-	A-	B-	F-:A-:B-
AP018321	F-	A-	B-	F-:A-:B-
AP018322	F-	A-	B-	F-:A-:B-
AP018323	F-	A-	B-	F-:A-:B-
AP018324	F-	A-	B-	F-:A-:B-
AP018325	F-	A-	B-	F-:A-:B-
AP018328	F-	A-	B-	F-:A-:B-
AP018329	F-	A-	B-	F-:A-:B-
AP018330	F-	A-	B-	F-:A-:B-
AP018331	F-	A-	B-	F-:A-:B-
AP018332	F-	A-	B-	F-:A-:B-
AP018333	F-	A-	B-	F-:A-:B-
AP018334	F-	A-	B-	F-:A-:B-
AP018350	F-	A-	B-	F-:A-:B-
AP018351	F-	A-	B-	F-:A-:B-
AP018352	F-	A-	B-	F-:A-:B-
AP018355	F-	A-	B-	F-:A-:B-
AP018362	F-	A-	B-	F-:A-:B-
AP018363	F-	A-	B-	F-:A-:B-
AP018378	F-	A-	B-	F-:A-:B-
AP018379	F-	A-	B-	F-:A-:B-
AP018380	F-	A-	B-	F-:A-:B-
AP018382	F-	A-	B-	F-:A-:B-
AP018383	F-	A-	B-	F-:A-:B-
AP018384	F-	A-	B-	F-:A-:B-
AP018386	F-	A-	B-	F-:A-:B-
AP018387	F-	A-	B-	F-:A-:B-
AP018393	F-	A-	B-	F-:A-:B-
AP018394	F-	A-	B-	F-:A-:B-
AP018406	F-	A-	B-	F-:A-:B-
AP018407	F-	A-	B-	F-:A-:B-
AP018408	F-	A-	B-	F-:A-:B-
AP018409	F-	A-	B-	F-:A-:B-
AP018411	F-	A-	B-	F-:A-:B-
AP018412	F-	A-	B-	F-:A-:B-
AP018444	F-	A-	B-	F-:A-:B-
AP018445	F-	A-	B-	F-:A-:B-
AP018454	F-	A-	B-	F-:A-:B-
AP018455	F-	A-	B-	F-:A-:B-
AP018493	F-	A-	B-	F-:A-:B-
AP018494	F-	A-	B-	F-:A-:B-
AP018497	F-	A-	B-	F-:A-:B-
AP018500	F-	A-	B-	F-:A-:B-
AP018501	F-	A-	B-	F-:A-:B-
AP018502	F-	A-	B-	F-:A-:B-
AP018503	F-	A-	B-	F-:A-:B-
AP018516	F-	A-	B-	F-:A-:B-
AP018520	F-	A-	B-	F-:A-:B-
AP018521	F-	A-	B-	F-:A-:B-
AP018525	F-	A-	B-	F-:A-:B-
AP018527	F-	A-	B-	F-:A-:B-
AP018528	F-	A-	B-	F-:A-:B-
AP018531	F-	A-	B-	F-:A-:B-
AP018534	F-	A-	B-	F-:A-:B-
AP018539	F-	A-	B-	F-:A-:B-
AP018540	F-	A-	B-	F-:A-:B-
AP018541	F-	A-	B-	F-:A-:B-
AP018542	F-	A-	B-	F-:A-:B-
AP018544	F-	A-	B-	F-:A-:B-
AP018545	F-	A-	B-	F-:A-:B-
AP018546	F-	A-	B-	F-:A-:B-
AP018547	F-	A-	B-	F-:A-:B-
AP018557	F-	A-	B-	F-:A-:B-
AP018559	F-	A-	B-	F-:A-:B-
AP018563	F-	A-	B-	F-:A-:B-
AP018564	F-	A-	B-	F-:A-:B-
AP018567	F-	A-	B-	F-:A-:B-
AP018569	F-	A-	B70	F-:A-:B70
AP018570	F-	A-	B-	F-:A-:B-
AP018571	F-	A-	B-	F-:A-:B-
AP018573	F-	A-	B-	F-:A-:B-
AP018575	F-	A-	B-	F-:A-:B-
AP018576	F-	A-	B-	F-:A-:B-
AP018577	F-	A13	B-	F-:A13:B-
AP018578	F-	A13	B-	F-:A13:B-
AP018579	F-	A13?*	B-	F-:A13?*:B-
AP018583	F-	A13?*	B-	F-:A13?*:B-
AP018665	F-	A-	B-	F-:A-:B-
AP018666	F-	A-	B-	F-:A-:B-
AP018667	F-	A-	B-	F-:A-:B-
AP018668	F-	A-	B-	F-:A-:B-
AP018669	F-	A-	B-	F-:A-:B-
AP018670	F-	A-	B-	F-:A-:B-
AP018672	F-	A-	B-	F-:A-:B-
AP018675	F-	A-	B-	F-:A-:B-
AP018682	F-	A-	B-	F-:A-:B-
AP018683	F-	A-	B-	F-:A-:B-
AP018684	F-	A-	B-	F-:A-:B-
AP018687	F-	A-	B-	F-:A-:B-
AP018688	F-	A-	B-	F-:A-:B-
AP018698	F-	A-	B-	F-:A-:B-
AP018700	F-	A-	B-	F-:A-:B-
AP018701	F-	A-	B-	F-:A-:B-
AP018702	F-	A-	B-	F-:A-:B-
AP018703	F-	A-	B-	F-:A-:B-
AP018704	F-	A-	B-	F-:A-:B-
AP018705	F-	A-	B-	F-:A-:B-
AP018706	F-	A-	B-	F-:A-:B-
AP018707	F-	A-	B-	F-:A-:B-
AP018708	F-	A-	B-	F-:A-:B-
AP018709	F-	A-	B-	F-:A-:B-
AP018710	F-	A-	B-	F-:A-:B-
AP018719	F-	A-	B-	F-:A-:B-
AP018720	F-	A-	B-	F-:A-:B-
AP018723	F-	A-	B-	F-:A-:B-
AP018727	F-	A-	B-	F-:A-:B-
AP018728	F-	A-	B-	F-:A-:B-
AP018729	F-	A-	B-	F-:A-:B-
AP018730	F-	A-	B-	F-:A-:B-
AP018731	F-	A-	B-	F-:A-:B-
AP018748	F-	A-	B-	F-:A-:B-
AP018749	F-	A-	B-	F-:A-:B-
AP018751	F-	A-	B-	F-:A-:B-
AP018752	F-	A-	B-	F-:A-:B-
AP018754	F-	A-	B-	F-:A-:B-
AP018755	F-	A-	B-	F-:A-:B-
AP018757	F-	A-	B-	F-:A-:B-
AP018758	F-	A-	B-	F-:A-:B-
AP018797	F-	A-	B-	F-:A-:B-
AP018798	F-	A-	B-	F-:A-:B-
AP018803	F-	A-	B-	F-:A-:B-
AP018804	F-	A-	B-	F-:A-:B-
AP018806	F-	A-	B-	F-:A-:B-
AP018807	F-	A-	B-	F-:A-:B-
AP018809	F-	A-	B-	F-:A-:B-
AP018810	F-	A-	B11	F-:A-:B11
AP018812	F-	A-	B-	F-:A-:B-
AP018825	F-	A-	B-	F-:A-:B-
AP018826	F-	A-	B-	F-:A-:B-
AP018829	F-	A-	B-	F-:A-:B-
AP018831	F-	A-	B-	F-:A-:B-
AP018834	F-	A-	B-	F-:A-:B-
AP018836	F-	A-	B-	F-:A-:B-
AP018837	F-	A-	B-	F-:A-:B-
AP018838	F-	A-	B-	F-:A-:B-
AP018921	F-	A-	B-	F-:A-:B-
AP018924	F-	A-	B-	F-:A-:B-
AP018926	F-	A-	B-	F-:A-:B-
AP018934	F-	A-	B-	F-:A-:B-
AP018939	F-	A1	B58?	F-:A1:B58?
AP019010	F-	A-	B-	F-:A-:B-
AP019190	F-	A-	B-	F-:A-:B-
AP019194	F-	A-	B-	F-:A-:B-
AP019196	F-	A-	B-	F-:A-:B-
AP019197	F-	A-	B-	F-:A-:B-
AP019198	F-	A-	B-	F-:A-:B-
AP019364	F-	A-	B-	F-:A-:B-
AP019369	F-	A-	B-	F-:A-:B-
AP019370	F-	A-	B-	F-:A-:B-
AP019380	F-	A-	B-	F-:A-:B-
AP019381	F-	A-	B-	F-:A-:B-
AP019382	F-	A-	B-	F-:A-:B-
AP019383	F-	A-	B-	F-:A-:B-
AP019384	F-	A-	B-	F-:A-:B-
AP019385	F-	A-	B-	F-:A-:B-
AP019386	F-	A-	B-	F-:A-:B-
AP019387	F-	A-	B-	F-:A-:B-
AP019388	F-	A-	B-	F-:A-:B-
AP019395	F-	A-	B-	F-:A-:B-
AP019396	F-	A-	B-	F-:A-:B-
AP019402	F-	A-	B-	F-:A-:B-
AP019403	F-	A-	B-	F-:A-:B-
AP019404	F-	A-	B-	F-:A-:B-
AP019409	F-	A-	B-	F-:A-:B-
AP019410	F-	A-	B-	F-:A-:B-
AP019515	F-	A-	B-	F-:A-:B-
